ID,Model,HGNC,Transcription_factor,Model_length,Quality,TF_family,EntrezGene,UniProt_ID,TFclass
ZN708_HUMAN.H11MO.0.C,ZN708_HUMAN.H11MO.0.C,ZNF708,ZNF708,20,C,More than 3 adjacent zinc finger factors{2.3.3},7562,ZN708_HUMAN,2.3.3
ZN708_HUMAN.H11MO.1.D,ZN708_HUMAN.H11MO.1.D,ZNF708,ZNF708,9,D,More than 3 adjacent zinc finger factors{2.3.3},7562,ZN708_HUMAN,2.3.3
ZN713_HUMAN.H11MO.0.D,ZN713_HUMAN.H11MO.0.D,ZNF713,ZNF713,19,D,More than 3 adjacent zinc finger factors{2.3.3},,ZN713_HUMAN,2.3.3
ZN740_HUMAN.H11MO.0.D,ZN740_HUMAN.H11MO.0.D,ZNF740,ZNF740,14,D,Other factors with up to three adjacent zinc fingers{2.3.2},283337,ZN740_HUMAN,2.3.2
ZN768_HUMAN.H11MO.0.C,ZN768_HUMAN.H11MO.0.C,ZNF768,ZNF768,20,C,More than 3 adjacent zinc finger factors{2.3.3},79724,ZN768_HUMAN,2.3.3
ZN770_HUMAN.H11MO.0.C,ZN770_HUMAN.H11MO.0.C,ZNF770,ZNF770,22,C,Factors with multiple dispersed zinc fingers{2.3.4},54989,ZN770_HUMAN,2.3.4
ZN770_HUMAN.H11MO.1.C,ZN770_HUMAN.H11MO.1.C,ZNF770,ZNF770,11,C,Factors with multiple dispersed zinc fingers{2.3.4},54989,ZN770_HUMAN,2.3.4
ZN784_HUMAN.H11MO.0.D,ZN784_HUMAN.H11MO.0.D,ZNF784,ZNF784,11,D,Factors with multiple dispersed zinc fingers{2.3.4},147808,ZN784_HUMAN,2.3.4
ZN816_HUMAN.H11MO.0.C,ZN816_HUMAN.H11MO.0.C,ZNF816,ZNF816,21,C,More than 3 adjacent zinc finger factors{2.3.3},125893,ZN816_HUMAN,2.3.3
ZN816_HUMAN.H11MO.1.C,ZN816_HUMAN.H11MO.1.C,ZNF816,ZNF816,14,C,More than 3 adjacent zinc finger factors{2.3.3},125893,ZN816_HUMAN,2.3.3
ZNF18_HUMAN.H11MO.0.C,ZNF18_HUMAN.H11MO.0.C,ZNF18,ZNF18,12,C,More than 3 adjacent zinc finger factors{2.3.3},7566,ZNF18_HUMAN,2.3.3
ZNF41_HUMAN.H11MO.0.C,ZNF41_HUMAN.H11MO.0.C,ZNF41,ZNF41,24,C,More than 3 adjacent zinc finger factors{2.3.3},7592,ZNF41_HUMAN,2.3.3
ZNF41_HUMAN.H11MO.1.C,ZNF41_HUMAN.H11MO.1.C,ZNF41,ZNF41,12,C,More than 3 adjacent zinc finger factors{2.3.3},7592,ZNF41_HUMAN,2.3.3
ZNF76_HUMAN.H11MO.0.C,ZNF76_HUMAN.H11MO.0.C,ZNF76,ZNF76,22,C,More than 3 adjacent zinc finger factors{2.3.3},7629,ZNF76_HUMAN,2.3.3
ZNF85_HUMAN.H11MO.0.C,ZNF85_HUMAN.H11MO.0.C,ZNF85,ZNF85,20,C,More than 3 adjacent zinc finger factors{2.3.3},7639,ZNF85_HUMAN,2.3.3
ZNF85_HUMAN.H11MO.1.C,ZNF85_HUMAN.H11MO.1.C,ZNF85,ZNF85,13,C,More than 3 adjacent zinc finger factors{2.3.3},7639,ZNF85_HUMAN,2.3.3
ZNF8_HUMAN.H11MO.0.C,ZNF8_HUMAN.H11MO.0.C,ZNF8,ZNF8,22,C,Factors with multiple dispersed zinc fingers{2.3.4},7554,ZNF8_HUMAN,2.3.4
ZSC16_HUMAN.H11MO.0.D,ZSC16_HUMAN.H11MO.0.D,ZSCAN16,ZSCAN16,20,D,More than 3 adjacent zinc finger factors{2.3.3},80345,ZSC16_HUMAN,2.3.3
ZSC22_HUMAN.H11MO.0.C,ZSC22_HUMAN.H11MO.0.C,ZSCAN22,ZSCAN22,16,C,More than 3 adjacent zinc finger factors{2.3.3},342945,ZSC22_HUMAN,2.3.3
ZSC31_HUMAN.H11MO.0.C,ZSC31_HUMAN.H11MO.0.C,ZSCAN31,ZSCAN31,18,C,More than 3 adjacent zinc finger factors{2.3.3},64288,ZSC31_HUMAN,2.3.3
ZSCA4_HUMAN.H11MO.0.D,ZSCA4_HUMAN.H11MO.0.D,ZSCAN4,ZSCAN4,12,D,More than 3 adjacent zinc finger factors{2.3.3},201516,ZSCA4_HUMAN,2.3.3
